       Time_s           01           02           03           04           05
   8.0000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   8.1000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   8.2000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   8.3000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   8.4000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   8.5000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   8.6000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   8.7000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   8.8000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   8.9000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   9.0000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   9.1000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   9.2000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   9.3000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   9.4000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   9.5000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   9.6000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   9.7000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   9.8000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   9.9000E-14   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   1.0000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3621E-03   5.1998E+00
   1.0100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1998E+00
   1.0300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1998E+00
   1.0500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1998E+00
   1.0700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1998E+00
   1.0900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1998E+00
   1.1100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1998E+00
   1.1300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1998E+00
   1.1500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1998E+00
   1.1700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1998E+00
   1.1900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.2100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.2300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.2500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.2700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.2900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.3100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.3300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.3500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.3700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.3900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.4100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.4300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3622E-03   5.1999E+00
   1.4500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.1999E+00
   1.4700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.1999E+00
   1.4900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.1999E+00
   1.5100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.1999E+00
   1.5300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.1999E+00
   1.5500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.1999E+00
   1.5700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.1999E+00
   1.5900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.1999E+00
   1.6100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.1999E+00
   1.6300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.6500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.6700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.6900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.7100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.7300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.7500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.7700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.7900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.8100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.8300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.8500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.8700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3623E-03   5.2000E+00
   1.8900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2000E+00
   1.9100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2000E+00
   1.9300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2000E+00
   1.9500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2000E+00
   1.9700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2000E+00
   1.9900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2000E+00
   2.0100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2000E+00
   2.0400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2000E+00
   2.0700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2000E+00
   2.1000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2001E+00
   2.1300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2001E+00
   2.1600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2001E+00
   2.1900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2001E+00
   2.2200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2001E+00
   2.2500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2001E+00
   2.2800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3624E-03   5.2001E+00
   2.3100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2001E+00
   2.3400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2001E+00
   2.3700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2001E+00
   2.4000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2001E+00
   2.4300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2001E+00
   2.4600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2001E+00
   2.4900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2001E+00
   2.5200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2002E+00
   2.5500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2002E+00
   2.5800E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2002E+00
   2.6100E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2002E+00
   2.6400E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2002E+00
   2.6700E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2002E+00
   2.7000E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2002E+00
   2.7300E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3625E-03   5.2002E+00
   2.7600E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2002E+00
   2.7900E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2002E+00
   2.8200E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2002E+00
   2.8500E-13   4.0266E+02   4.0000E+02   6.7733E+04   5.3626E-03   5.2002E+00
